PLAYER,TEAM,GP,W,L,MIN,PASSES MADE,PASSES RECEIVED,AST,SECONDARY AST,POTENTIAL AST,AST PTS CREATED,AST ADJ,AST TO PASS%,AST TO PASS% ADJ
Tyrese Haliburton,IND,21,12,9,33.4,76.2,79.8,11.2,1.1,21.4,29.8,14,14.7,18.3
James Harden,PHI,9,4,5,36.7,67.8,79.6,10,1,18,25.9,12.3,14.8,18.2
Luka Doncic,DAL,19,10,9,37.4,56.7,70.1,8.6,1.1,17,22.5,10.4,15.1,18.4
Nikola Jokic,DEN,18,13,5,31.7,70.8,62.4,8.9,0.8,16.2,23.3,10.9,12.6,15.5
Trae Young,ATL,21,11,10,35.5,44.9,69,9.6,0.4,16,23.6,11,21.4,24.5
Chris Paul,PHX,10,7,3,30.2,58.9,58.2,9.4,0.9,15.8,23.8,11.3,16,19.2
Kyle Lowry,MIA,22,10,12,36.4,68.8,67.6,6.1,0.6,14.2,16.3,7.7,8.9,11.2
Darius Garland,CLE,16,8,8,35.6,55.1,73.4,8.1,0.8,13.9,19.8,9.8,14.7,17.7
Mike Conley,UTA,17,11,6,29.3,58.9,59.8,7.9,0.8,13.9,20.8,9.4,13.4,15.9
Jrue Holiday,MIL,16,13,3,31.9,51.8,59.1,7.3,0.7,13.8,18,8.5,14,16.4
Draymond Green,GSW,20,11,9,30.6,60.1,47.2,7.1,0.9,13.7,18.5,8.7,11.7,14.4
LaMelo Ball,CHA,3,1,2,32.8,60.7,73.3,7,1.3,13.7,17.3,9,11.5,14.8
Ja Morant,MEM,18,12,6,33,51.2,68.7,7.6,0.8,13.6,18.8,8.6,14.8,16.8
Tre Jones,SAS,21,6,15,30.1,53.5,61.9,7,0.9,13.6,18.2,8.7,13,16.3
Fred VanVleet,TOR,15,8,7,36.2,58.9,65.8,6.6,1,13,16.2,7.9,11.2,13.4
Pascal Siakam,TOR,11,6,5,34.9,54.1,56.5,7.1,1.2,13,18.9,8.9,13.1,16.5
Russell Westbrook,LAL,19,8,11,28,41.2,46.9,7.2,0.6,12.7,17.9,8.7,17.4,21.1
Bradley Beal,WAS,16,7,9,36.7,51.3,63.5,5.6,1.1,12.6,15.7,7.6,11,14.8
Cade Cunningham,DET,12,3,9,33.3,50.3,65.8,6,0.4,12.6,17.3,8.3,11.9,16.4
Jalen Brunson,NYK,22,10,12,32.5,59.4,69.5,6.5,0.6,12.5,16.8,7.8,10.9,13.2
De'Aaron Fox,SAC,19,11,8,31.9,52.3,64.1,6,0.5,12.4,16.3,7.2,11.5,13.8
LeBron James,LAL,14,5,9,35.3,49.3,62.5,6.3,0.6,12.4,16.9,8.1,12.8,16.4
Dennis Smith Jr.,CHA,15,4,11,27.9,53,54.6,5.7,0.7,12.3,15.6,7.4,10.7,14
Kevin Porter Jr.,HOU,20,5,15,34.5,56.7,63.6,6,0.6,12.3,16.9,7.5,10.6,13.2
Damian Lillard,POR,11,7,4,35.2,56.1,71.5,7,0.8,12.2,18.6,8.5,12.5,15.2
Shai Gilgeous-Alexander,OKC,20,8,12,35.8,44.1,64.7,6.1,0.9,12.1,15.5,7.1,13.7,16.1
Stephen Curry,GSW,20,11,9,34.7,53.9,65.2,7,1.2,12.1,17.6,8.6,13,16
Devin Booker,PHX,21,15,6,36.5,36.5,56.9,5.8,1.3,12,14.8,7.5,15.8,20.5
Dejounte Murray,ATL,22,12,10,36.9,47.8,58.6,6.6,0.4,11.8,16.2,7.5,13.8,15.8
Marcus Smart,BOS,20,16,4,32.4,46.9,51.5,7.6,0.9,11.8,18.8,8.7,16.2,18.4
D'Angelo Russell,MIN,22,11,11,31.3,64.5,69.1,6.7,0.7,11.7,17.5,8.3,10.4,12.9
CJ McCollum,NOP,17,10,7,35.1,53.2,64.7,6.1,0.7,11.6,16.1,7.8,11.5,14.7
Terry Rozier,CHA,13,4,9,37.2,61.1,77.8,5.6,0.5,11.5,13.8,6.6,9.2,10.8
Josh Giddey,OKC,19,6,13,30.5,55.4,51.7,5.5,0.5,10.9,14.3,6.4,9.9,11.6
Jimmy Butler,MIA,13,6,7,35.7,45.7,50.2,6.1,0.5,10.5,16.3,7,13.3,15.3
Cameron Payne,PHX,19,14,5,25.5,44.4,48.5,5.2,0.7,10.4,12.9,6.5,11.7,14.7
Giannis Antetokounmpo,MIL,17,13,4,32.8,47.5,58.4,5.5,0.5,10.4,14,6.2,11.6,13.1
Domantas Sabonis,SAC,20,11,9,32.1,53.7,43.9,6.4,0.4,10.2,16.9,7.2,11.9,13.4
Ben Simmons,BKN,17,8,9,28,54,41.5,5.8,0.5,9.9,14.3,6.5,10.8,12.1
DeMar DeRozan,CHI,21,9,12,34.7,38.7,56.1,4.6,1.3,9.9,12.2,6.3,11.8,16.4
Donovan Mitchell,CLE,20,13,7,36.3,44.9,63.1,5.1,0.7,9.8,13.4,6.4,11.2,14.1
Scottie Barnes,TOR,18,9,9,32.4,54.7,51.1,5.2,0.2,9.7,14.5,6.2,9.5,11.3
Spencer Dinwiddie,DAL,20,10,10,32,45,53.5,4.8,0.5,9.6,13,5.9,10.7,13.1
T.J. McConnell,IND,20,11,9,17.8,40,40.2,4.5,0.2,9.6,13,5.5,11.1,13.8
Kevin Durant,BKN,23,12,11,36.7,39.8,55.8,5.3,1.1,9.5,13,6.9,13.4,17.2
Brandon Ingram,NOP,15,9,6,32.1,41,51,4.7,0.5,9.3,13.1,5.9,11.4,14.5
Monte Morris,WAS,19,10,9,27.1,44.8,46.8,5.1,0.6,9.1,13.3,6.1,11.3,13.6
John Wall,LAC,18,8,10,22.4,39.1,46.7,5.6,0.7,9,14.2,6.9,14.2,17.6
Cole Anthony,ORL,5,0,5,29.1,49,51.8,3.8,0.4,8.8,10.4,5,7.8,10.2
Jordan Clarkson,UTA,24,13,11,32.4,34.4,46,4.9,0.4,8.8,12.9,5.8,14.3,16.9
