PLAYER,TEAM,GP,W,L,MIN,PASSES MADE,PASSES RECEIVED,AST,SECONDARY AST,POTENTIAL AST,AST PTS CREATED,AST ADJ,AST TO PASS%,AST TO PASS% ADJ
Tyrese Haliburton,IND,37,20,17,33.5,73.9,78.3,10.2,1.1,19.9,27.2,12.5,13.8,16.9
James Harden,PHI,22,14,8,38.3,70,81.4,10.8,1.1,17.8,28.5,13.6,15.5,19.4
Chris Paul,PHX,25,11,14,31.8,59.9,63.4,8.6,0.9,17.5,22.5,10.6,14.4,17.7
Trae Young,ATL,34,16,18,35.7,48.4,71.1,9.9,0.6,17.1,24.2,11.4,20.4,23.4
Luka Doncic,DAL,36,22,14,36.9,55.9,69.2,8.7,1.2,16.4,23.4,10.6,15.6,19
Nikola Jokic,DEN,35,24,11,33.4,74.4,66.2,9.5,0.9,15.9,23.9,11.4,12.8,15.4
Mike Conley,UTA,30,16,14,29.4,56.7,58.5,7.6,0.6,14.5,20.7,9.2,13.4,16.2
Ja Morant,MEM,33,23,10,32.4,49,66.5,8,0.8,13.9,20,9.2,16.3,18.7
Darius Garland,CLE,30,16,14,35.9,55.3,72,7.8,0.8,13.8,19.3,9.5,14.2,17.1
LaMelo Ball,CHA,15,4,11,34.6,62.8,75.8,8.1,1.2,13.8,19.7,9.9,12.8,15.8
Jrue Holiday,MIL,27,19,8,32.5,52,59.4,7.2,0.7,13.7,18.1,8.5,13.8,16.4
Russell Westbrook,LAL,35,17,18,27.8,41.6,45.6,7.7,0.6,13.5,19.3,9.2,18.4,22
Draymond Green,GSW,35,20,15,31.2,60.7,48.1,6.7,0.7,13.2,18,8.2,11.1,13.6
Fred VanVleet,TOR,30,12,18,37,62.2,69,6.2,0.7,12.8,15.4,7.4,9.9,11.9
Cade Cunningham,DET,12,3,9,33.3,50.3,65.8,6,0.4,12.6,17.3,8.3,11.9,16.4
Damian Lillard,POR,25,14,11,35.3,57.8,72.9,7.2,0.8,12.6,18.8,8.8,12.4,15.2
Tre Jones,SAS,37,12,25,29.8,53.6,61.5,6.5,0.8,12.6,16.9,8,12.1,14.9
Kyle Lowry,MIA,34,16,18,35.1,64.2,61.9,5.7,0.5,12.5,14.8,7,8.9,10.9
LeBron James,LAL,29,13,16,36,49.5,64.2,6.6,0.8,12.5,17.2,8.3,13.4,16.9
Domantas Sabonis,SAC,36,20,16,34.1,62.3,48.6,6.7,0.3,12.3,17.8,7.5,10.8,12
Jalen Brunson,NYK,36,20,16,32.9,58.6,69.5,6.5,0.6,12.2,17.1,7.9,11.1,13.5
Marcus Smart,BOS,35,24,11,33,48.5,52.3,7.3,0.7,12.2,17.9,8.1,15,16.8
Kevin Porter Jr.,HOU,38,10,28,34.5,56.3,63,5.7,0.6,11.7,15.2,7,10.1,12.4
Pascal Siakam,TOR,28,11,17,37.2,56.7,60.9,6.6,0.8,11.7,17.5,7.9,11.6,13.9
Stephen Curry,GSW,26,14,12,34.4,52.9,64.7,6.8,1.1,11.7,17,8.3,12.9,15.7
De'Aaron Fox,SAC,34,19,15,33,52.4,65.3,5.9,0.4,11.6,15.8,7,11.2,13.3
Dennis Smith Jr.,CHA,17,4,13,27,50.2,52.2,5.2,0.6,11.6,14.4,6.8,10.4,13.6
Giannis Antetokounmpo,MIL,32,21,11,34,49.7,60.7,5.4,0.7,11.5,13.9,6.3,10.8,12.7
Shai Gilgeous-Alexander,OKC,34,13,21,35.7,43.3,63.4,5.7,0.9,11.5,14.8,6.9,13.2,16
Bradley Beal,WAS,24,10,14,33.6,44.5,57.3,5.2,0.8,11.4,14.5,6.9,11.6,15.5
Devin Booker,PHX,29,18,11,34.5,35.1,55,5.6,1.1,11.4,14.6,7.1,15.8,20.3
Dejounte Murray,ATL,33,16,17,36.5,48.5,58.7,6.2,0.3,11.1,15.1,6.9,12.8,14.3
Jimmy Butler,MIA,25,13,12,34.7,43.3,48.7,5.7,0.4,11,15.4,6.6,13.2,15.2
CJ McCollum,NOP,34,21,13,35.2,52.4,65.6,6,0.6,10.9,15.6,7.6,11.4,14.5
D'Angelo Russell,MIN,36,16,20,32.6,64.3,69.6,6.5,0.7,10.9,16.6,7.9,10.1,12.4
Terry Rozier,CHA,29,7,22,35.5,53.1,68.3,5.3,0.6,10.6,13.7,6.6,10,12.3
Spencer Dinwiddie,DAL,38,22,16,33.1,44.1,52.3,5.1,0.5,10.2,13.9,6.1,11.6,13.9
Cameron Payne,PHX,28,15,13,24,43.1,46.6,5.3,0.8,9.9,12.9,6.5,12.3,15.2
Josh Giddey,OKC,33,11,22,30.6,57.3,52.8,5.3,0.6,9.9,13.4,6.3,9.3,11
Monte Morris,WAS,34,16,18,28.6,49.1,51,5.4,0.6,9.9,13.9,6.6,10.9,13.5
DeMar DeRozan,CHI,38,17,21,36.3,36.6,53.5,4.9,1.2,9.7,13.1,6.6,13.3,18
Donovan Mitchell,CLE,35,23,12,36.7,43.1,61.7,4.9,0.6,9.7,12.6,6,11.3,14
Markelle Fultz,ORL,18,9,9,27.1,45.2,45.3,5.4,0.3,9.7,14.7,6.7,12,14.7
